fitValue/0/value/intVal,originDataSourceId,endTimeNanos,dataTypeName,startTimeNanos,modifiedTimeMillis,rawTimestampNanos
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57434E+18,com.google.sleep.segment,1.57434E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57435E+18,com.google.sleep.segment,1.57435E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57435E+18,com.google.sleep.segment,1.57435E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57435E+18,com.google.sleep.segment,1.57435E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57435E+18,com.google.sleep.segment,1.57435E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5744E+18,com.google.sleep.segment,1.57439E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5744E+18,com.google.sleep.segment,1.5744E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5744E+18,com.google.sleep.segment,1.5744E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5744E+18,com.google.sleep.segment,1.5744E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57441E+18,com.google.sleep.segment,1.5744E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57441E+18,com.google.sleep.segment,1.57441E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57442E+18,com.google.sleep.segment,1.57441E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57442E+18,com.google.sleep.segment,1.57442E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57445E+18,com.google.sleep.segment,1.57445E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57446E+18,com.google.sleep.segment,1.57445E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57446E+18,com.google.sleep.segment,1.57446E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57446E+18,com.google.sleep.segment,1.57446E+18,1.60686E+12,0
